gene	syn	description	protein	fun_desc	essential
rzoD	Rz1	"Probable Rz1-like lipoprotein, DLP12 prophage"	DLP12 prophage; predicted lipoprotein	Phage or Prophage Related	N
rzoQ	Rz1	"Probable Rz1-like lipoprotein, Qin prophage"	"probable Rz1-like lipoprotein, Qin prophage"	Null	N
rzoR	Rz1	"Probable Rz1-like lipoprotein, Rac prophage"	Rac prophage; predicted lipoprotein	Phage or Prophage Related	N
rzpD	"Rz, ybcT"	"Rz homolog, DLP12 prophage"	DLP12 prophage; predicted murein endopeptidase	Phage or Prophage Related	N
rzpQ	"Rz, ydfP"	"Rz-like equivalent, Qin prophage"	"Rz-like equivalent, Qin prophage"	Phage or Prophage Related	N
sad	yneI	"Succinate semialdehyde dehydrogenase, NAD(P)(+)-dependent; SSADH; SSDH"	"succinate semialdehyde dehydrogenase, NAD(P)+-dependent"	Putative enzyme; Not classified	N
safA	yneN	"Two-component system connector protein, EvgSA to PhoQP; TCS regulon connector; EvgSA-regulated membrane protein that activates the PhoQP regulon"	"Two component system connector membrane protein, EvgSA to PhoQP"	Regulator	N
sanA	"sfiX(St), yeiF"	Vancomycin high temperature exclusion protein	vancomycin high temperature exclusion protein; mutants have a defective envelope more permeable to vancomycin at 42 degrees	Transport; Drug/analog sensitivity	N
sapA	None	"Antimicrobial peptide binding protein, periplasmic"	antimicrobial peptide transport ABC transporter periplasmic binding protein	Putative transport; Not classified	N
sapB	None	Antimicrobial peptide ABC transporter permease	antimicrobial peptide transport ABC transporter permease	Putative transport; Not classified	N
sapC	None	Antimicrobial peptide ABC transporter permease	antimicrobial peptide transport ABC transporter permease	Putative transport; Not classified	N
sapD	trkE	Antimicrobial peptide ABC transporter ATP-binding protein; required for ATP-dependence of Trk K+ uptake systems	antimicrobial peptide transport ABC system ATP-binding protein	Putative transport; Not classified	N
sapF	None	Antimicrobial peptide ABC transporter ATP-binding protein	antimicrobial peptide transport ABC system ATP-binding protein	Putative transport; Not classified	N
sbcB	"cpeA, xonA"	Exonuclease I; suppresses recB recC mutations	exonuclease I	Enzyme; Degradation of DNA	N
sbcC	rmuA	"DNA hairpin dsDNA 3'-exonuclease SbcCD, Mn(2+), ATP-dependent; ATP-independent 5' ssDNA endonuclease; required for recombinational repair of dsDNA breaks; cosuppressor with sbcB of recB recC mutations; heterodimeric"	"exonuclease, dsDNA, ATP-dependent"	Enzyme; Degradation of DNA	N
sbcD	yajA	"DNA hairpin dsDNA 3'-exonuclease SbcCD, Mn(2+), ATP-dependent; ATP-independent 5' ssDNA endonuclease; cosuppressor with sbcB of recB recC mutations; heterodimeric"	"exonuclease, dsDNA, ATP-dependent"	Enzyme; Degradation of DNA	N
sbmA	None	Microcin B17 transporter	microcin B17 transporter	Putative membrane; Drug/analog sensitivity	N
sbmC	"dgi, gyrI, yeeB"	DNA gyrase inhibitor; in high copy protects cells from replication inhibitor MccB17; SOS induced; blocks MccB17 export	DNA gyrase inhibitor	Null	N
sbp	None	"Sulfate-binding protein, periplasmic"	sulfate transporter subunit	Transport; Transport of small molecules: Anions	N
scpA	"mcm, sbm, yliK"	"Methylmalonyl-CoA mutase, B12-dependent"	methylmalonyl-CoA mutase	Enzyme; Degradation of small molecules: Fatty acids	N
scpB	"mmcD, ygfG"	Methylmalonyl-CoA decarboxylase	"methylmalonyl-CoA decarboxylase, biotin-independent"	Enzyme; Not classified	N
scpC	ygfH	Propionyl CoA:succinate CoA transferase	propionyl-CoA:succinate CoA transferase	Enzyme; Not classified	N
sdaA	None	L-Serine deaminase I; L-SD2	L-serine deaminase I	Enzyme; Degradation of small molecules: Amino acids	N
sdaB	None	L-Serine deaminase II; L-SD2	L-serine deaminase II	Enzyme; Degradation of small molecules: Amino acids	N
sdaC	dcrA	"Serine:H+ symport permease, threonine-insensitive"	predicted serine transporter	"Putative transport; Transport of small molecules: Amino acids, amines"	N
sdhA	None	Succinate dehydrogenase (SQR) flavoprotein subunit; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration	"succinate dehydrogenase, flavoprotein subunit"	"Enzyme; Energy metabolism, carbon: TCA cycle"	N
sdhB	None	Succinate dehydrogenase (SQR) iron-sulfur protein; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration	"succinate dehydrogenase, FeS subunit"	"Enzyme; Energy metabolism, carbon: TCA cycle"	N
sdhC	cybA	Succinate dehydrogenase (SQR) cytochrome b556; membrane anchor; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration	"succinate dehydrogenase, membrane subunit, binds cytochrome b556"	"Enzyme; Energy metabolism, carbon: TCA cycle"	N
sdhD	None	Succinate dehydrogenase (SQR) hydrophobic subunit; succinate:ubiquinone oxidoreductase (SQR); complex II of aerobic respiration	"succinate dehydrogenase, membrane subunit, binds cytochrome b556"	"Enzyme; Energy metabolism, carbon: TCA cycle"	N
sdiA	uvrX	"Quorum-sensing ftsQAZ-P2, acrABCDE transcriptional activator; fluoroquinolone resistance; overproduction confers drug resistance by stimulating the acr genes; SdiA senses exogenous N-acyl homoserine lactones"	quorum-sensing transcriptional activator	Regulator; Cell division	N
secA	"azi, pea, prlD"	Preprotein translocase secAYEG receptor/ATPase subunit; autogenous translational repressor; ATP-dependent helicase activity on secMA mRNA; homodimeric/monomeric	"preprotein translocase subunit, ATPase"	"Transport; Protein, peptide secretion"	Y
secB	None	Protein export chaperone; SecB helps SecA deliver proteins to the SecYEG translocon; general protein chaperone	protein export chaperone	"Transport; Protein, peptide secretion"	N
secD	None	SecDFyajC inner membrane secretion protein complex subunit; assists the SecYEG translocon to interact with SecA and export proteins	SecYEG protein translocase auxillary subunit	"Transport; Protein, peptide secretion"	Y
secE	"mbrC, prlG"	SecYEG inner membrane translocon core subunit; preprotein translocase secAYEG subunit; core translocon secYE subunit	preprotein translocase membrane subunit	"Transport; Protein, peptide secretion"	N
secF	None	SecDFyajC inner membrane secretion protein complex subunit; assists the SecYE core translocon to interact with SecA and export proteins	SecYEG protein translocase auxillary subunit	"Transport; Protein, peptide secretion"	N
secG	prlH	SecYEG inner membrane translocon secA-interacting subunit; preprotein translocase secAYEG subunit; preprotein translocase secAYEG subunit	preprotein translocase membrane subunit	"Transport; Protein, peptide secretion"	N
secM	"srrA, yacA"	Secretion monitor controlling secA expression	regulator of secA translation	Null	N
secY	prlA	SecYEG inner membrane translocon core subunit; preprotein translocase secAYEG subunit; core translocon secYE subunit	preprotein translocase membrane subunit	Putative transport; Not classified	Y
selA	fdhA	"Selenocysteine synthase; with SelD, converts serine residue to selenocysteine on tRNA; contains pyridoxal 5-phosphate"	selenocysteine synthase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	N
selB	fdhA	Elongation factor promoting selenocysteine incorporation; specific for selenocysteyl tRNA	selenocysteinyl-tRNA-specific translation factor	Factor; Proteins - translation and modification	N
selC	fdhC	Selenocysteyl tRNA(UCA) (converted from serine tRNA)	Null	Null	N
selD	fdhB	"Selenophosphate synthase, ATP-dependent; reduced selenium donor for selenocysteic tRNA synthesis and for the modification of several tRNAs to contain 5-methylaminomethyl-2-selenouridine"	selenophosphate synthase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	N
selU	"selE, ybbB"	"tRNA 2-selenouridine synthase, selenophosphate-dependent; replaces a sulfur atom in 2-thiouridine in tRNA with selenium; required for 5-methylaminomethyl-2-selenouridine synthesis"	"tRNA 2-selenouridine synthase, selenophosphate-dependent"	Enzyme; Unclassified; phenotype; Surface polysaccharides & antigens	N
seqA	hsm-1	Sequesters newly replicated hemimethylated oriC origins to prevent re-initiation; binds hemimethylated GATC sequences; SeqA foci required for chromosome segregation; binds and stimulates Topo IV	regulatory protein for replication initiation	"Regulator; DNA - replication, repair, restriction/modification"	N
serA	None	D-3-Phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	Enzyme; Amino acid biosynthesis: Serine	N
serB	None	Phosphoserine phosphatase; HAD9	3-phosphoserine phosphatase	Enzyme; Amino acid biosynthesis: Serine	N
serC	"pdxC, pdxF"	Phosphoserine aminotransferase	3-phosphoserine/phosphohydroxythreonine aminotransferase	Enzyme; Amino acid biosynthesis: Serine	N
serS	None	Serine--tRNA ligase; serine hydroxamate resistance	"seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine"	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
serT	divE	Serine tRNA(UGA) 1	Null	Null	N
serU	"ftsM, Su-1, su1, supD, supH"	Serine tRNA(CGA) 2	Null	Null	N
serV	supD	Serine tRNA(GCU) 3	Null	Null	N
serW	None	Serine tRNA(GGA) 5	Null	Null	N
serX	None	Serine tRNA(GGA) 5	Null	Null	N
setA	yabM	Broad specificity sugar efflux transporter	broad specificity sugar efflux system	Putative transport; Not classified	N
setB	yeiO	Glucose and lactose efflux transporter	lactose/glucose efflux system	Orf; Not classified	N
setC	yicK	Putative arabinose efflux transporter	putative arabinose efflux transporter	Putative transport; Not classified	N
sfmA	fimA(S.t.)	"Function unknown, FimA homolog"	predicted fimbrial-like adhesin protein	Putative structure; Not classified	N
sfmC	fimC(S.t.)	Periplasmic pilus chaperone	"pilin chaperone, periplasmic"	Putative factor; Not classified	N
sfmD	fimD(S.t.)	Putative outer membrane fimbrial subunit export usher protein; function unknown	predicted outer membrane export usher protein	Putative membrane; Not classified	N
sfmF	"fimF(S.t.), ybcG"	"Function unknown, FimA homolog"	predicted fimbrial-like adhesin protein	Putative structure; Not classified	N
sfmH	fimH(S.t.)	"Function unknown, FimA homolog"	predicted fimbrial-like adhesin protein	Null	N
sfsA	"sfs, sfs1"	Overexpression increases maltose utilization; stimulates MalQ	predicted DNA-binding transcriptional regulator	Putative regulator; Degradation of small molecules: Carbon compounds	N
sfsB	"nlp, sfs7"	"Overexpression increases maltose and lactose utilization; stimulates MalQ, MalP and LacZ"	DNA-binding transcriptional activator of maltose metabolism	Regulator; Degradation of small molecules: Carbon compounds	N
sgcA	yjhL	Predicted phosphotransferase enzyme IIA	KpLE2 phage-like element; predicted phosphotransferase enzyme IIA component	Putative transport; Not classified	N
sgcB	None	"Predicted phosphotransferase enzyme IIB, function unknown"	predicted enzyme IIB component of PTS	Null	N
sgcC	yjhN	Predicted phosphotransferase enzyme IIC	KpLE2 phage-like element; predicted phosphotransferase enzyme IIC component	Putative transport; Not classified	N
sgcE	yjhK	Predicted pentose-5-phosphate 3-epimerase	KpLE2 phage-like element; predicted epimerase	Putative enzyme; Not classified	N
sgcQ	yjhM	"Putative gene in sgc gene cluster, function unknown"	KpLE2 phage-like element; predicted nucleoside triphosphatase	Putative enzyme; Not classified	N
sgcR	yjhJ	Putative sgc cluster transcriptional regulator	KpLE2 phage-like element; predicted DNA-binding transcriptional regulator	Putative regulator; Not classified	N
sgcX	yjhO	"Peptidase homolog, function unknown"	KpLE2 phage-like element; predicted endoglucanase with Zn-dependent exopeptidase domain	Putative enzyme; Not classified	N
sgrR	yabN	Transcriptional activator of sgrS sRNA; sgrS destabilizes ptsG mRNA	transcriptional DNA-binding transcriptional activator of sgrS sRNA	Transport; Not classified	N
sgrS	ryaA	sRNA that destabilzes ptsG mRNA; regulated by sgrR	Null	Null	N
sgrT	None	Inhibitor of glucose uptake	Inhibitor of glucose uptake	Null	N
shiA	yeeM	Shikimate and dehydroshikimate permease	shikimate transporter	Putative transport; Not classified	N
shoB	"ryfB, yphI"	Toxic membrane protein antisense regulated by ohsC	toxic membrane protein	Null	N
sibA	"QUAD1a, ryeC, tp11"	Antisense sRNA regulator of toxic IbsA protein; in SIBa repeat	Null	Null	N
sibB	"QUAD1b, ryeD, tpe60"	Antisense sRNA regulator of toxic IbsB protein; in SIBb repeat	Null	Null	N
sibC	"QUAD1c, rygC, t27"	Antisense sRNA regulator of toxic IbsC protein; in SIBc repeat	Null	Null	N
sibD	"C0730, IS156, QUAD1d, rygD, tp8"	Antisense sRNA regulator of toxic IbsD protein; in SIBd repeat	Null	Null	N
sibE	"QUAD1e, rygE"	Antisense sRNA regulator of toxic IbsE protein; in SIBe repeat	Null	Null	N
sieB	git	"Superinfection exclusion protein, Rac prophage"	Rac prophage; phage superinfection exclusion protein	Phenotype; Phage or Prophage Related	N
sixA	yfcW	Phosphohistidine phosphatase affecting ArcB H-D phosphorelay; targets Hpt domain	phosphohistidine phosphatase	Null	N
skp	"hlpA, ompH"	Periplasmic molecular chaperone for outer membrane proteins; trimeric	periplasmic chaperone	"Factor; Basic proteins - synthesis, modification"	N
slmA	"ttk, yicB"	"DNA-binding anti-FtsZ division inhibitor, dimeric; nucleoid occlusion factor; regulates FtsZ assembly and blocks septal ring formation at SBS sites"	DNA-binding anti-FtsZ division inhibitor	Putative regulator; Not classified	N
slp	None	"Outer membrane lipoprotein, stationary phase inducible; also induced by carbon source starvation"	outer membrane lipoprotein	Membrane; Outer membrane constituents	N
slt	sltY	"Soluble lytic murein transglycosylase Slt70, major autolysin, periplasmic"	"lytic murein transglycosylase, soluble"	"Enzyme; Murein sacculus, peptidoglycan"	N
slyA	None	Activates crytpic hemolysin gene hlyE; global transcriptional regulator	DNA-binding transcriptional activator	"Regulator; Adaptations, atypical conditions"	N
slyB	None	"Novel verified lipoprotein, function unknown"	outer membrane lipoprotein	Putative membrane; Not classified	N
slyD	None	FKBP-type peptidyl-prolyl cis-trans isomerase; metal ion regulated; overexpression causes filamentation; required to stabilize E lysis protein of bacteriophage phiX174	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)	Enzyme; Proteins - translation and modification	N
slyX	None	Required for phi X174 lysis	protein required for phi X174 lysis	Null	N
smf	None	"Function unknown, possible role in DNA metabolism"	conserved protein	Null	N
smg	None	"Function unknown, after smf gene"	conserved protein	Null	N
smpB	smqB	tmRNA RNA-binding protein; required for peptide-tagging trans-translation and association of tmRNA(SsrA) with ribosomes	trans-translation protein	Null	N
smrA	ydaL	"DNA endonuclease, function unknown"	DNA endonuclease	Null	N
smrB	yfcN	"Predicted DNA endonuclease, function unknown"	predicted DNA endonuclease	Null	N
smtA	ycbD	"Putative methyltransferase, SAM-dependent, Hns-regulated"	predicted S-adenosyl-L-methionine-dependent methyltransferase	"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	N
sodA	None	"Superoxide dismutase, Mn"	"superoxide dismutase, Mn"	Enzyme; Detoxification	N
sodB	None	"Superoxide dismutase, Fe; response to oxidative stress; chromate resistance; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; acid-inducible"	"superoxide dismutase, Fe"	Enzyme; Detoxification	N
sodC	None	"Superoxide dismutase, Cu, Zn, periplasmic; mutants are sensitive to exogenous hydrogen peroxide in early stationary phase"	"superoxide dismutase, Cu, Zn"	Enzyme; Detoxification	N
sohB	None	Multicopy suppressor of htrA(degP); probable protease	predicted inner membrane peptidase; multicopy suppressor of htrA(degP)	Putative enzyme; Not classified	N
sokB	None	"Antisense sRNA blocking mokB, and hence hokB, translation"	Null	Null	N
sokC	sof	"Antisense sRNA blocking mokC, and hence hokC, translation"	Null	Null	N
sokE	None	Antisense sRNA at remnant mokE/hokE locus	Null	Null	N
sokX	None	"Antisense sRNA, function unknown"	Null	Null	N
solA	None	"N-methyltryptophan oxidase, FAD-containing; monomeric"	"N-methyltryptophan oxidase, FAD-binding"	Putative enzyme; Not classified	N
soxR	marC	Redox-sensitive transcriptional activator for soxS; AraC family	"DNA-binding transcriptional dual regulator, Fe-S center for redox-sensing"	Regulator; Global regulatory functions	N
soxS	None	Global transcription regulator for superoxide response; AraC family	DNA-binding transcriptional dual regulator	Regulator; Global regulatory functions	N
